Date,Open,High,Low,Close,Adj Close,Volume
2021-03-22,94.349998,95.169998,93.139999,94.680000,94.680000,1968600
2021-03-23,93.769997,94.610001,89.830002,91.980003,91.980003,5601000
2021-03-24,93.220001,94.580002,92.690002,92.930000,92.930000,3277900
2021-03-25,92.110001,96.279999,90.330002,95.949997,95.949997,2476800
2021-03-26,97.529999,98.129997,94.440002,96.959999,96.959999,1995600
2021-03-29,95.389999,96.239998,93.309998,94.080002,94.080002,1975100
2021-03-30,94.360001,95.779999,93.879997,95.260002,95.260002,2781000
2021-03-31,95.480003,96.550003,94.320000,94.989998,94.989998,2285600
2021-04-01,95.550003,97.669998,95.550003,97.199997,97.199997,1593100
2021-04-05,98.699997,99.150002,97.970001,98.900002,98.900002,1526500
2021-04-06,98.629997,99.500000,98.139999,98.919998,98.919998,1480700
2021-04-07,99.589996,100.660004,98.360001,98.800003,98.800003,1294700
2021-04-08,97.870003,99.610001,96.269997,99.519997,99.519997,1682400
2021-04-09,100.320000,100.949997,99.550003,100.180000,100.180000,1604100
2021-04-12,99.989998,100.720001,99.669998,100.449997,100.449997,1526300
2021-04-13,99.690002,100.040001,97.849998,99.790001,99.790001,2701500
2021-04-14,99.489998,102.750000,99.449997,101.320000,101.320000,2063900
2021-04-15,101.610001,102.779999,99.330002,102.000000,102.000000,2218200
2021-04-16,103.110001,104.000000,101.449997,102.269997,102.269997,1601400
2021-04-19,101.540001,101.540001,99.580002,100.610001,100.610001,3260900
2021-04-20,100.029999,100.220001,96.040001,96.800003,96.800003,1708000
2021-04-21,96.019997,98.449997,94.910004,98.400002,98.400002,1788300
2021-04-22,99.139999,101.540001,97.839996,99.500000,99.500000,3212500
2021-04-23,99.250000,103.080002,98.529999,102.839996,102.839996,2207600
